id,state,lat,lon,words,text,score
390883413340614656,Minnesota,44.91828055,-92.94598735,"[u'hoping', u'ill', u'time', u'ride', u'pony', u'feel', u'implant', u'arm', u'dead']",Hoping ill have time to ride my pony today but I feel like after this implant my arm will be dead:(,-4.360793650793651
390883434325102592,New York,40.75195611,-73.98993857,"[u'soup', u'silly', u'dude', u'lol', u'bread', u'factory', u'caf']",Having soup with the silly dude..lol Ask who? @tcsfrank (@ The Bread Factory Café - @breadfactory7) http://t.co/aoetzZuXWq,4.3
390884092822454274,Wisconsin,42.9437044,-88.858258,"[u'awkward', u'lol']",Well that was the most awkward thing. #Lol,1
390884805862502403,Texas,33.67587636,-96.89231065,[u'live'],I could live off of these things http://t.co/1uTt0aZ6WE,-0.7129629629629629
390891076342788100,Georgia,34.9701065,-85.44779392,"[u'gone', u'drinking', u'cause', u'love', u'shit', u'ima', u'smoking', u'lovee', u'shit']","And I'm gone keep drinking cause I love this shit, ima keep smoking because I loveee this shit🎶🎶",-8.47420634920635
390895186769100800,Indiana,41.11693922,-85.1013732,[u'fuck'],FUCK today,-4
390884562601246720,Pennsylvania,40.16988982,-76.60896176,"[u'lol', u'mixture', u'music', u'ipod', u'rap', u'metal', u'dubstep']",Lol I have such a mixture of music on my iPod from rap to metal to dubstep,5.375
390883610485850113,Florida,27.95327475,-82.50464851,"[u'international', u'academy', u'design', u'amp', u'technology', u'tampa', u'tampa', u'fl']","I'm at International Academy of Design &amp; Technology Tampa (Tampa, FL) http://t.co/mQlsVSf0Kq",0.6645191409897292
390897120330678272,Massachusetts,42.50420362,-70.89106994,[u'wait'],@NicoleHagan18 @JesseSWS wait what? 😭,1.4166666666666667
390891848073371648,Minnesota,45.03530935,-93.04307819,"[u'easy', u'heard', u'dropping']",@ThomasCHerrera thought you made 85 easy? And heard you were dropping to 70,2.0
390887196594810882,Texas,30.00190973,-95.46451663,[u'world'],This world is so small,-0.75
390894989623820289,California,34.1711245,-117.3099944,"[u'finally', u'broncos', u'key', u'chain']",Finally got my Broncos key chain :),0
390884793275404288,California,32.7454008,-116.932963,"[u'kenneth', u'trouble', u'office']",Me and Kenneth were both in trouble in the office ,-4.0
390893559378759680,California,37.3516882,-121.8024642,"[u'love', u'duck', u'dynasty', u'morning']",I love Duck Dynasty in the morning!,5.6
390889071469682689,New York,43.08722504,-77.60233396,"[u'omg', u'miss']",@eriiinclark @rSWITZERLAND omg miss this!!!!,-4.0
390885812470312963,Texas,28.98166714,-97.50752678,[u'wonder'],“@yohernandez23: I wonder what you say about me when I'm not around.😱”,0
390889948070432768,California,39.72213928,-121.85333799,"[u'chasing', u'dream', u'time', u'hope', u'don', u'fall', u'short']","Been chasing this dream for a long time, just hope I don't fall short.",4.835615413393191
390887402128285696,Illinois,41.9129986,-87.6853842,"[u'garfield', u'tho']",Garfield tho,-0.2986111111111111
390891206383001600,Florida,30.28059043,-81.71841404,"[u'fucking', u'iphone', u'jax']",@LaMystika fucking iPhone... I said Only in Jax,-6.833333333333333
390896218572066816,New York,40.71294302,-73.59984806,"[u'love', u'text', u'mom', u'momm', u'immediate', u'response', u'cost', u'straightothepoint', u'loveyoutoo']","Love that when I text my mom ""Mommm"" her immediate response is ""what is it and how much will it cost me?"" #straightothepoint #loveyoutoo",5.020238095238096
390887834129006592,Missouri,39.0554439,-94.5464214,"[u'wanna', u'paid']",No one wants to work but everybody wanna get paid.,-0.8733766233766235
390896466010832896,Massachusetts,42.2365967,-72.58168629,"[u'love', u'job']",I love this job 😍,4.503703703703704
390896453436313600,New York,40.74186151,-73.98943363,"[u'lunch', u'time']",Lunch time (at @Eataly w/ 10 others) http://t.co/df6q7UZh4E,0.8603174603174604
390884659036684289,Arkansas,35.0344152,-90.7907556,"[u'love', u'snuggled', u'sumbody', u'tht', u'loves']",I love being snuggled up under sumbody tht loves me!!,6.916666666666666
390888756892692481,Louisiana,30.18125783,-91.99029395,"[u'girl', u'passes', u'french', u'braid']",*girl passes by with french braid* 😍,-0.009920634920634922
390891936174723072,Ohio,39.8543081,-84.3407165,"[u'country', u'music']",country music never gets old,0.5
390883463684829184,Hawaii,21.31228918,-157.86001826,"[u'oo', u'hate', u'answer']",OOOOO I HATE THAT ANSWER SO MUCH!!!!,-6.0
390886965916467200,Texas,30.5350744,-97.6903325,"[u'question', u'name', u'jacob']",The question is.. Why did all them ask if my name was Jacob...?,0
390894675051417601,Alaska,61.23273085,-149.73106554,"[u'rft', u'guys', u'wear', u'cut', u'sweats']",RFT “@Smityyyy: Why do guys wear cut of sweats ?!?”,-1.9533730158730158
390887695750545408,California,37.65048773,-121.01008734,"[u'tired', u'nit', u'post', u'twitter']",@RaccoonLocz Not tired enough nit to post on twitter.,-2.4071428571428575
390886773003259904,Ohio,41.5628294,-83.6538244,"[u'lumber', u'company', u'construction', u'job', u'insulation', u'installer', u'maumee', u'oh', u'veteranjob', u'jobs', u'tweetmyjobs']","84 Lumber Company #Construction #Job: Insulation Installer ( #Maumee , OH) http://t.co/5HVg79yw8q #VeteranJob #Jobs #TweetMyJobs",2.6505291005291007
390892183639035904,Connecticut,41.73907645,-72.24820517,"[u'reason', u'yourself', u'happy']",you do not have to have a reason to do the things you do to make yourself happy,4.7455952380952375
390886227718991872,Ohio,39.98436162,-83.13992086,"[u'call', u'saul']",Better call Saul,-0.6777777777777779
390891864867766273,Oklahoma,34.60298683,-98.3781869,"[u'exactly', u'colorado']",@Q_Suaveeee we know exactly why you're going to Colorado with 400$ 😏.... 😯💨🍁,0
390895929139949569,New York,40.75176719,-73.99014508,"[u'title', u'header', u'puns', u'channeling', u'inner', u'hannah']",In need of good title header puns at work today - channeling my inner Hannah @harto,0
390883841155796992,Florida,26.77734359,-80.0398562,"[u'sailfish', u'marina', u'resort', u'restaurant']",I'm at Sailfish Marina Resort Restaurant w/ @oliverhine @jbrinkman http://t.co/rwEt7KejaG,1.0
390887146263150594,Connecticut,41.25070657,-73.09715104,"[u'hills', u'alive', u'sound', u'crying', u'lauren', u'conrad']",“@AwkGrlPrblms: The Hills are alive with the sound of me crying because I'll never be Lauren Conrad.” @AveryKiefer,-2.0
390896155649130496,Texas,32.9193193,-96.6831368,"[u'news', u'eyelashes', u'tho', u'gt', u'gt', u'gt', u'gt', u'damn', u'mine', u'hers']",In other news @_Iheartval  eyelashes tho &gt;&gt;&gt;&gt; damn on point . Why can't mine be like hers 😭 😭,-6.7315917107583765
390892653379723264,New York,42.61379,-73.898099,"[u'dont', u'expect', u'reply', u'creepiest']",dont expect a reply when you just said the creepiest thing ever,-0.9583333333333334
390895992045707264,Hawaii,19.51973147,-155.91789893,"[u'kik', u'luvbig1s']",Kik me anyone. Luvbig1s,0
390885812478705664,Florida,30.4593579,-84.34756293,"[u'cupid', u'aim', u'amp', u'throw', u'darts', u'goes', u'sparks', u'amp', u'broken', u'hearts']","Cupid aim &amp; throw the darts, there goes the sparks &amp; broken hearts.",-1.4487394957983195
390895035765776384,Texas,29.81024826,-95.18131249,"[u'yu', u'yu']",@LadyyWilliams52 where Yu at Yu say?,2.5
390890501718966272,Texas,29.770542,-95.319881,"[u'live', u'lunch', u'concerts', u'_']",Live Lunch Concerts -_-,-0.3796296296296296
390893370635460610,Illinois,40.4681098,-90.6833051,"[u'longboarding', u'probably', u'gayest']",Longboarding is probably the gayest way to get around,0.2857142857142857
390888178095497216,Florida,26.01158164,-80.14599027,"[u'tbt', u'stillhungry', u'clinicals', u'lunch', u'imissmybed', u'chocolada', u'bakery', u'amp']",Tbt :(...#5minsago #stillhungry #clinicals #12hours #lunch #imissmybed #7morehrs @ Chocolada Bakery &amp;… http://t.co/i8T3KR7hJT,1.4740429505135388
390890094887849984,Texas,32.7564851,-96.9756734,"[u'baby', u'sick', u'hate', u'seeing']",My baby is so sick.  :( I hate seeing him like this.,-7.677380952380952
390895220327731200,Texas,29.88720282,-97.95265962,"[u'soo', u'tired', u'fell', u'asleep', u'hour']",I'm sooo tired and I fell asleep an hour early 😔,-2.7142857142857144
390892175258431488,Washington,47.42693958,-122.24094587,"[u'feel', u'oomf', u'trouble', u'amp', u'shouldn', u'bother', u'ex']",I feel like oomf is just trouble &amp; I shouldn't even bother. You can have your ex.😂✌️,-5.156591970121382
390889889333407744,Indiana,39.6732231,-86.0592511,"[u'feeling', u'todays', u'payday']",@_DopeDoll_ i know the feeling todays my payday,2.0
390894188495376384,Kansas,37.67119958,-95.46288818,"[u'thank', u'love']",@nativebarbie19 thank you. Love you too,5
